variance,skewness,curtosis,entropy,class
-0.048008,-1.6037,8.4756,0.75558,0
2.5227,2.2369,2.7236,0.79438,0
2.0597,-0.99326,5.2119,-0.29312,0
-0.036127,1.525,-1.4089,-0.76121,1
-6.651,6.7934,0.68604,-7.5887,1
2.5635,6.7769,-0.61979,0.38576,0
-2.286,-5.4484,5.8039,0.88231,1
2.8523,9.0096,-3.761,-3.3371,0
-2.5754,-5.6574,6.103,0.65214,1
4.6352,-3.0087,2.6773,1.212,0
2.3925,9.798,-3.0361,-2.8224,0
2.6881,6.0195,-0.46641,-0.69268,0
4.7181,10.0153,-3.9486,-3.8582,0
-2.9915,-6.6258,8.6521,1.8198,1
0.77805,6.6424,-1.1425,-1.0573,0
1.8314,6.3672,-0.036278,0.049554,0
-4.244,-13.0634,17.1116,-2.8017,1
3.5438,1.2395,1.997,2.1547,0
-1.7322,-9.2828,7.719,-1.7168,1
-0.77848,3.4019,-3.4859,-3.5569,1
3.2303,7.8384,-3.5348,-1.2151,0
-6.5773,6.8017,0.85483,-7.5344,1
4.65,-4.8297,3.4553,-0.25174,0
0.6818,4.8504,-5.2133,-6.1043,1
4.8368,10.0132,-4.3239,-4.3276,0
4.3937,0.35798,2.0416,1.2004,0
-0.8734,1.6533,-2.1964,-0.78061,1
-4.6338,-12.7509,16.7166,-3.2168,1
-0.28696,3.1784,-3.5767,-3.1896,1
-2.234,-7.0314,7.4936,0.61334,1
1.0987,0.6394,5.989,-0.58277,0
-1.8974,3.5074,-1.7842,-3.8491,1
-1.9116,-6.1603,5.606,0.48533,1
-1.4106,-7.108,5.6454,0.31335,1
-0.025314,-0.17383,-0.11339,1.2198,1
3.3848,3.2674,0.90967,0.25128,0
1.143,0.83391,5.4552,-0.56984,0
-2.1668,1.5933,0.045122,-1.678,1
5.2868,3.257,-1.3721,1.1668,0
4.1711,8.722,-3.0224,-0.59699,0
0.74054,0.36625,2.1992,0.48403,0
4.4682,2.2907,0.95766,0.83058,0
-1.3995,-1.9162,2.5154,0.59912,1
-1.5851,-2.1562,1.7082,0.9017,1
0.066129,2.4914,-2.9401,-0.62156,1
-3.3793,-13.7731,17.9274,-2.0323,1
-0.10648,-0.76771,7.7575,0.64179,0
-6.4247,9.5311,0.022844,-6.8517,1
1.3638,-4.7759,8.4182,-1.8836,0
0.9297,-3.7971,4.6429,-0.2957,0
-1.5222,10.8409,2.7827,-4.0974,0
3.5152,6.8224,-0.67377,-0.46898,0
-2.4365,3.6026,-1.4166,-2.8948,1
5.2012,0.32694,0.17965,1.1797,0
-2.2527,11.5321,2.5899,-3.2737,0
0.5195,-3.2633,3.0895,-0.9849,0
-2.3797,-1.4402,1.1273,0.16076,1
-1.979,3.2301,-1.3575,-2.5819,1
1.5077,1.9596,-3.0584,-0.12243,1
0.87256,9.2931,-0.7843,-2.1978,0
-3.9204,4.0723,-0.23678,-2.1151,1
3.5761,9.7753,-3.9795,-3.4638,0
-3.5801,-12.9309,13.1779,-2.5677,1
2.1881,2.7356,1.3278,-0.1832,0
2.565,8.633,-2.9941,-1.3082,0
4.7114,2.0755,-0.2702,1.2379,0
-1.2667,2.8183,-2.426,-1.8862,1
2.5581,2.6218,1.8513,0.40257,0
0.3434,0.12415,-0.28733,0.14654,1
-1.3612,10.694,1.7022,-2.9026,0
4.0715,7.6398,-2.0824,-1.1698,0
0.7049,0.17174,-1.7859,0.36119,1
0.67886,4.1199,-4.569,-4.1414,1
-2.8833,1.7713,0.68946,-0.4638,1
3.946,6.8514,-1.5443,-0.5582,0
5.9374,6.1664,-2.5905,-0.36553,0
2.5605,9.2683,-3.5913,-1.356,0
4.8451,8.1116,-2.9512,-1.4724,0
-1.6001,-9.5828,9.4044,0.081882,1
-1.3887,-4.8773,6.4774,0.34179,1
3.9232,-3.2467,3.4579,0.83705,0
-0.39816,5.9781,1.3912,-1.1621,0
4.5691,-4.4552,3.1769,0.0042961,0
1.5799,-4.7076,7.9186,-1.5487,0
3.6181,-3.7454,2.8273,-0.71208,0
1.6849,8.7489,-1.2641,-1.3858,0
5.7403,-0.44284,0.38015,1.3763,0
-2.2482,3.0915,-2.3969,-2.6711,1
4.9852,8.3516,-2.5425,-1.2823,0
-2.6479,10.1374,-1.331,-5.4707,0
-4.9462,3.5716,0.82742,-1.4957,1
-0.47465,-4.3496,1.9901,0.7517,1
2.0007,1.8644,2.6491,0.47369,0
-0.96511,9.4111,1.7305,-4.8629,0
2.4008,9.3593,-3.3565,-3.3526,0
1.7425,3.6833,-4.0129,-1.7207,1
0.58836,10.7727,-1.3884,-4.3276,0
2.805,0.57732,1.3424,1.2133,0
1.8373,6.1292,0.84027,0.55257,0
5.6272,10.0857,-4.2931,-3.8142,0
4.988,7.2052,-3.2846,-1.1608,0
-2.0962,-7.1059,6.6188,-0.33708,1
1.5268,-5.5871,8.6564,-1.722,0
-0.2361,9.3221,2.1307,-4.3793,0
2.8672,10.0008,-3.2049,-3.1095,0
-1.5055,0.070346,6.8681,-0.50648,0
5.3586,3.7557,-1.7345,1.0789,0
5.2756,0.13863,0.12138,1.1435,0
0.26517,2.4066,-2.8416,-0.59958,1
-2.5912,-0.10554,1.2798,1.0414,1
-2.0897,10.8265,2.3603,-3.4198,0
-3.551,1.8955,0.1865,-2.4409,1
-3.6053,-5.974,10.0916,-0.82846,1
-1.0833,-0.31247,1.2815,0.41291,1
-0.83535,0.80494,-1.6411,-0.19225,1
0.87603,6.8141,0.84198,-0.17156,0
3.8197,8.9951,-4.383,-4.0327,0
-1.749,-6.332,6.0987,0.14266,1
-1.7582,2.7397,-2.5323,-2.234,1
0.27451,9.2186,-3.2863,-4.8448,0
0.96788,7.1907,1.2798,-2.4565,0
-1.5681,-7.2446,6.5537,-0.1276,1
3.9262,6.0299,-2.0156,-0.065531,0
0.55298,-3.4619,1.7048,1.1008,1
-1.4446,2.1438,-0.47241,-1.6677,1
1.518,5.6946,0.094818,-0.026738,0
-2.1802,3.3791,-1.2256,-2.6621,1
-2.565,-5.7899,6.0122,0.046968,1
2.2546,8.0992,-0.24877,-3.2698,0
-1.8448,1.254,0.27218,-1.0728,1
1.6349,3.286,2.8753,0.087054,0
2.0153,0.43661,4.5864,-0.3151,0
4.0962,10.1891,-3.9323,-4.1827,0
-0.36279,8.2895,-1.9213,-3.3332,0
-1.0802,2.1996,-2.5862,-1.2759,1
-2.4604,12.7302,0.91738,-7.6418,0
-0.95923,-6.7128,4.9857,0.32886,1
-2.5419,-0.65804,2.6842,1.1952,1
0.50813,0.47799,-1.9804,0.57714,1
-7.0364,9.2931,0.16594,-4.5396,1
-4.1429,2.7749,0.68261,-0.71984,1
-5.4808,8.1819,0.27818,-5.0323,1
-1.1306,1.8458,-1.3575,-1.3806,1
3.245,6.63,-0.63435,0.86937,0
2.877,-4.0599,3.6259,-0.32544,0
-0.33729,-0.64976,7.6659,0.72326,0
5.1302,8.6703,-2.8913,-1.5086,0
-3.1423,-13.0365,15.6773,-0.66165,1
-3.5895,-6.572,10.5251,-0.16381,1
-1.1804,11.5093,0.15565,-6.8194,0
0.39012,-0.14279,-0.031994,0.35084,1
-2.1234,1.1815,-0.55552,-0.81165,1
-1.8046,-6.8141,6.7019,1.1681,1
2.1943,4.5503,-4.976,-2.7254,1
0.24835,7.6439,0.9885,-0.87371,0
-2.0046,-0.49457,1.333,1.6543,1
0.32924,-4.4552,4.5718,-0.9888,0
4.2586,11.2962,-4.0943,-4.3457,0
3.2692,3.4184,0.20706,-0.066824,0
-1.3,10.2678,-2.953,-5.8638,0
2.4673,1.3926,1.7125,0.41421,0
5.0691,0.21313,0.20278,1.2095,0
1.6032,-4.7863,8.5193,-2.1203,0
-2.7338,0.45523,2.4391,0.21766,1
2.6606,3.1681,1.9619,0.18662,0
0.49571,10.2243,-1.097,-4.0159,0
4.1757,10.2615,-3.8552,-4.3056,0
0.4283,-0.94981,-1.0731,0.3211,1
-2.3983,12.606,2.9464,-5.7888,0
2.1464,6.0795,-0.5778,-2.2302,0
0.89512,4.7738,-4.8431,-5.5909,1
0.86202,2.6963,4.2908,0.54739,0
-3.0799,0.60836,2.7039,-0.23751,1
3.4663,1.1112,1.7425,1.3388,0
-2.2173,1.4671,-0.72689,-1.1724,1
-3.6817,3.2239,-0.69347,-3.4004,1
-0.36025,-4.449,2.1067,0.94308,1
