framework,rank,dataset
h2o,1,german_credit
h2o,2,german_credit
flaml,3,german_credit
honcaml,4,german_credit
autogluon,5,german_credit
autogluon,6,german_credit
autogluon,7,german_credit
h2o,8,german_credit
flaml,9,german_credit
honcaml,10,german_credit
honcaml,11,german_credit
flaml,12,german_credit
flaml,13,german_credit
honcaml,14,german_credit
autogluon,15,german_credit
autogluon,16,german_credit
h2o,17,german_credit
flaml,18,german_credit
h2o,19,german_credit
lightautoml,20,german_credit
lightautoml,21,german_credit
lightautoml,22,german_credit
honcaml,23,german_credit
lightautoml,24,german_credit
autosklearn,25,german_credit
autokeras,26,german_credit
autosklearn,27,german_credit
autokeras,28,german_credit
lightautoml,29,german_credit
autokeras,30,german_credit
autosklearn,31,german_credit
autokeras,32,german_credit
autosklearn,33,german_credit
autosklearn,34,german_credit
tpot,35,german_credit
tpot,36,german_credit
autokeras,37,german_credit
tpot,38,german_credit
tpot,39,german_credit
tpot,40,german_credit
autopytorch,41,german_credit
autopytorch,42,german_credit
autopytorch,43,german_credit
autopytorch,44,german_credit
autopytorch,45,german_credit
autogluon,1,diabetes
honcaml,2,diabetes
flaml,3,diabetes
honcaml,4,diabetes
flaml,5,diabetes
autokeras,6,diabetes
autokeras,7,diabetes
h2o,8,diabetes
autokeras,9,diabetes
autogluon,10,diabetes
autosklearn,11,diabetes
autokeras,12,diabetes
autosklearn,13,diabetes
autosklearn,14,diabetes
lightautoml,15,diabetes
tpot,16,diabetes
autosklearn,17,diabetes
h2o,18,diabetes
tpot,19,diabetes
tpot,20,diabetes
autosklearn,21,diabetes
honcaml,22,diabetes
h2o,23,diabetes
autogluon,24,diabetes
honcaml,25,diabetes
h2o,26,diabetes
autogluon,27,diabetes
tpot,28,diabetes
autogluon,29,diabetes
honcaml,30,diabetes
h2o,31,diabetes
flaml,32,diabetes
lightautoml,33,diabetes
flaml,34,diabetes
lightautoml,35,diabetes
flaml,36,diabetes
tpot,37,diabetes
autokeras,38,diabetes
lightautoml,39,diabetes
lightautoml,40,diabetes
autopytorch,41,diabetes
autopytorch,42,diabetes
autopytorch,43,diabetes
autopytorch,44,diabetes
autopytorch,45,diabetes
h2o,1,ada
h2o,2,ada
h2o,3,ada
autogluon,4,ada
h2o,5,ada
h2o,6,ada
flaml,7,ada
flaml,8,ada
autopytorch,9,ada
flaml,10,ada
autosklearn,11,ada
tpot,12,ada
autosklearn,13,ada
autosklearn,14,ada
flaml,15,ada
flaml,16,ada
honcaml,17,ada
honcaml,18,ada
tpot,19,ada
tpot,20,ada
tpot,21,ada
autogluon,22,ada
lightautoml,23,ada
autosklearn,24,ada
autogluon,25,ada
lightautoml,26,ada
honcaml,27,ada
honcaml,28,ada
autosklearn,29,ada
lightautoml,30,ada
honcaml,31,ada
autogluon,32,ada
lightautoml,33,ada
lightautoml,34,ada
tpot,35,ada
autogluon,36,ada
autokeras,37,ada
autokeras,38,ada
autokeras,39,ada
autokeras,40,ada
autokeras,41,ada
autopytorch,42,ada
autopytorch,43,ada
autopytorch,44,ada
autopytorch,45,ada
h2o,1,ozone-level-8hr
autosklearn,2,ozone-level-8hr
