framework,rank,dataset
autogluon,1,abalone
autogluon,2,abalone
autogluon,3,abalone
autogluon,4,abalone
autogluon,5,abalone
honcaml,6,abalone
autosklearn,7,abalone
h2o,8,abalone
autosklearn,9,abalone
autosklearn,10,abalone
autosklearn,11,abalone
honcaml,12,abalone
honcaml,13,abalone
autosklearn,14,abalone
honcaml,15,abalone
tpot,16,abalone
tpot,17,abalone
honcaml,18,abalone
tpot,19,abalone
flaml,20,abalone
lightautoml,21,abalone
lightautoml,22,abalone
lightautoml,23,abalone
flaml,24,abalone
lightautoml,25,abalone
h2o,26,abalone
flaml,27,abalone
flaml,28,abalone
tpot,29,abalone
flaml,30,abalone
lightautoml,31,abalone
autopytorch,32,abalone
autopytorch,33,abalone
h2o,34,abalone
h2o,35,abalone
h2o,36,abalone
tpot,37,abalone
autokeras,38,abalone
autokeras,39,abalone
autokeras,40,abalone
autokeras,41,abalone
autokeras,42,abalone
autopytorch,43,abalone
autopytorch,44,abalone
autopytorch,45,abalone
autogluon,1,diamonds
autogluon,2,diamonds
autogluon,3,diamonds
autogluon,4,diamonds
autogluon,5,diamonds
flaml,6,diamonds
flaml,7,diamonds
flaml,8,diamonds
flaml,9,diamonds
flaml,10,diamonds
h2o,11,diamonds
h2o,12,diamonds
h2o,13,diamonds
h2o,14,diamonds
h2o,15,diamonds
lightautoml,16,diamonds
lightautoml,17,diamonds
lightautoml,18,diamonds
lightautoml,19,diamonds
lightautoml,20,diamonds
autosklearn,21,diamonds
autosklearn,22,diamonds
autosklearn,23,diamonds
autosklearn,24,diamonds
autosklearn,25,diamonds
tpot,26,diamonds
tpot,27,diamonds
tpot,28,diamonds
tpot,29,diamonds
tpot,30,diamonds
honcaml,31,diamonds
honcaml,32,diamonds
honcaml,33,diamonds
honcaml,34,diamonds
honcaml,35,diamonds
autokeras,36,diamonds
autokeras,37,diamonds
autokeras,38,diamonds
autopytorch,39,diamonds
autokeras,40,diamonds
autokeras,41,diamonds
autopytorch,42,diamonds
autopytorch,43,diamonds
autopytorch,44,diamonds
autopytorch,45,diamonds
autogluon,1,house_sales
autogluon,2,house_sales
autogluon,3,house_sales
flaml,4,house_sales
autogluon,5,house_sales
autogluon,6,house_sales
flaml,7,house_sales
flaml,8,house_sales
flaml,9,house_sales
flaml,10,house_sales
lightautoml,11,house_sales
lightautoml,12,house_sales
lightautoml,13,house_sales
lightautoml,14,house_sales
lightautoml,15,house_sales
h2o,16,house_sales
h2o,17,house_sales
h2o,18,house_sales
h2o,19,house_sales
autosklearn,20,house_sales
autosklearn,21,house_sales
autosklearn,22,house_sales
autosklearn,23,house_sales
h2o,24,house_sales
autosklearn,25,house_sales
tpot,26,house_sales
tpot,27,house_sales
tpot,28,house_sales
tpot,29,house_sales
tpot,30,house_sales
honcaml,31,house_sales
honcaml,32,house_sales
honcaml,33,house_sales
honcaml,34,house_sales
honcaml,35,house_sales
autokeras,36,house_sales
autopytorch,37,house_sales
autokeras,38,house_sales
autokeras,39,house_sales
autopytorch,40,house_sales
autopytorch,41,house_sales
autopytorch,42,house_sales
autopytorch,43,house_sales
autokeras,44,house_sales
autokeras,45,house_sales
h2o,1,sensory
autogluon,2,sensory
h2o,3,sensory
lightautoml,4,sensory
lightautoml,5,sensory
h2o,6,sensory
autosklearn,7,sensory
autosklearn,8,sensory
autosklearn,9,sensory
h2o,10,sensory
autogluon,11,sensory
flaml,12,sensory
flaml,13,sensory
autogluon,14,sensory
lightautoml,15,sensory
h2o,16,sensory
autosklearn,17,sensory
flaml,18,sensory
autosklearn,19,sensory
autogluon,20,sensory
flaml,21,sensory
flaml,22,sensory
lightautoml,23,sensory
autogluon,24,sensory
autopytorch,25,sensory
lightautoml,26,sensory
tpot,27,sensory
honcaml,28,sensory
honcaml,29,sensory
tpot,30,sensory
honcaml,31,sensory
autopytorch,32,sensory
autopytorch,33,sensory
autopytorch,34,sensory
tpot,35,sensory
tpot,36,sensory
tpot,37,sensory
honcaml,38,sensory
honcaml,39,sensory
autopytorch,40,sensory
autokeras,41,sensory
autokeras,42,sensory
autokeras,43,sensory
autokeras,44,sensory
autokeras,45,sensory
lightautoml,1,Moneyball
lightautoml,2,Moneyball
lightautoml,3,Moneyball
lightautoml,4,Moneyball
lightautoml,5,Moneyball
tpot,6,Moneyball
tpot,7,Moneyball
h2o,8,Moneyball
honcaml,9,Moneyball
autosklearn,10,Moneyball
autosklearn,11,Moneyball
autosklearn,12,Moneyball
autosklearn,13,Moneyball
autosklearn,14,Moneyball
tpot,15,Moneyball
tpot,16,Moneyball
h2o,17,Moneyball
h2o,18,Moneyball
autogluon,19,Moneyball
h2o,20,Moneyball
h2o,21,Moneyball
tpot,22,Moneyball
honcaml,23,Moneyball
honcaml,24,Moneyball
autogluon,25,Moneyball
flaml,26,Moneyball
autogluon,27,Moneyball
autogluon,28,Moneyball
autogluon,29,Moneyball
honcaml,30,Moneyball
honcaml,31,Moneyball
flaml,32,Moneyball
flaml,33,Moneyball
flaml,34,Moneyball
flaml,35,Moneyball
autopytorch,36,Moneyball
autopytorch,37,Moneyball
autopytorch,38,Moneyball
autopytorch,39,Moneyball
autopytorch,40,Moneyball
autokeras,41,Moneyball
autokeras,42,Moneyball
autokeras,43,Moneyball
autokeras,44,Moneyball
autokeras,45,Moneyball
autogluon,1,OnlineNewsPopularity
autogluon,2,OnlineNewsPopularity
autogluon,3,OnlineNewsPopularity
autogluon,4,OnlineNewsPopularity
autogluon,5,OnlineNewsPopularity
tpot,6,OnlineNewsPopularity
tpot,7,OnlineNewsPopularity
tpot,8,OnlineNewsPopularity
tpot,9,OnlineNewsPopularity
tpot,10,OnlineNewsPopularity
autokeras,11,OnlineNewsPopularity
autokeras,12,OnlineNewsPopularity
autokeras,13,OnlineNewsPopularity
flaml,14,OnlineNewsPopularity
autokeras,15,OnlineNewsPopularity
autosklearn,16,OnlineNewsPopularity
autokeras,17,OnlineNewsPopularity
flaml,18,OnlineNewsPopularity
flaml,19,OnlineNewsPopularity
flaml,20,OnlineNewsPopularity
flaml,21,OnlineNewsPopularity
h2o,22,OnlineNewsPopularity
lightautoml,23,OnlineNewsPopularity
h2o,24,OnlineNewsPopularity
honcaml,25,OnlineNewsPopularity
h2o,26,OnlineNewsPopularity
honcaml,27,OnlineNewsPopularity
lightautoml,28,OnlineNewsPopularity
autosklearn,29,OnlineNewsPopularity
lightautoml,30,OnlineNewsPopularity
lightautoml,31,OnlineNewsPopularity
lightautoml,32,OnlineNewsPopularity
h2o,33,OnlineNewsPopularity
h2o,34,OnlineNewsPopularity
honcaml,35,OnlineNewsPopularity
autopytorch,36,OnlineNewsPopularity
honcaml,37,OnlineNewsPopularity
autopytorch,38,OnlineNewsPopularity
honcaml,39,OnlineNewsPopularity
autosklearn,40,OnlineNewsPopularity
autopytorch,41,OnlineNewsPopularity
autopytorch,42,OnlineNewsPopularity
autosklearn,43,OnlineNewsPopularity
autosklearn,44,OnlineNewsPopularity
autopytorch,45,OnlineNewsPopularity
