dataset,framework,std
abalone,autogluon,0.00074833147735478
abalone,autokeras,0.002870540018881467
abalone,autopytorch,0.056341813957308834
abalone,autosklearn,0.000979795897113272
abalone,flaml,0.00040000000000000034
abalone,h2o,0.005253570214625484
abalone,honcaml,0.0013564659966250547
abalone,lightautoml,0.0007483314773547889
abalone,tpot,0.003762977544445359
diamonds,autogluon,0.0
diamonds,autokeras,0.16933706032643886
diamonds,autopytorch,0.2275038461213348
diamonds,autosklearn,0.0007483314773547889
diamonds,flaml,0.0007483314773547889
diamonds,h2o,0.00040000000000000034
diamonds,honcaml,0.058008275271723087
diamonds,lightautoml,0.0007483314773547889
diamonds,tpot,0.0078892331693264
house_sales,autogluon,1.3877787807814457e-17
house_sales,autokeras,0.1299424487994589
house_sales,autopytorch,0.054620142804646714
house_sales,autosklearn,0.000489897948556636
house_sales,flaml,0.0006324555320336721
house_sales,h2o,0.0012000000000000012
house_sales,honcaml,0.006086049621881174
house_sales,lightautoml,0.000489897948556636
house_sales,tpot,0.0006324555320336764
sensory,autogluon,0.0008000000000000008
sensory,autokeras,0.09503557228743352
sensory,autopytorch,0.001356465996625052
sensory,autosklearn,0.000489897948556636
sensory,flaml,0.000489897948556636
sensory,h2o,0.0006324555320336764
sensory,honcaml,0.0004898979485566326
sensory,lightautoml,0.000748331477354789
sensory,tpot,0.0007999999999999977
Moneyball,autogluon,0.00040000000000000034
Moneyball,autokeras,0.24400131147188536
Moneyball,autopytorch,0.010507140429250956
Moneyball,autosklearn,0.0
Moneyball,flaml,0.0
Moneyball,h2o,0.0
Moneyball,honcaml,0.000489897948556636
Moneyball,lightautoml,0.0
Moneyball,tpot,0.000489897948556636
OnlineNewsPopularity,autogluon,0.03477355316903925
OnlineNewsPopularity,autokeras,0.039300890575151085
OnlineNewsPopularity,autopytorch,0.05149999999999998
OnlineNewsPopularity,autosklearn,0.611384461693295
OnlineNewsPopularity,flaml,0.09830239061182587
OnlineNewsPopularity,h2o,0.027549228664338392
OnlineNewsPopularity,honcaml,0.05793582656698706
OnlineNewsPopularity,lightautoml,0.02206898275861395
OnlineNewsPopularity,tpot,0.017701977290687107
