dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,14.759,0.107,0.707,0.693,0.739,0.693,,
ozone-level-8hr,30,15.223,0.039,0.698,0.682,0.787,0.682,,
ozone-level-8hr,42,14.89,0.043,0.727,0.728,0.726,0.728,,
ozone-level-8hr,65,15.808,0.086,0.675,0.66,0.76,0.66,,
ozone-level-8hr,87,15.196,0.07,0.721,0.712,0.736,0.712,,
adult,16,89.401,0.617,0.817,0.799,0.841,0.799,,
adult,30,91.719,0.892,0.815,0.797,0.84,0.797,,
adult,42,96.922,0.522,0.817,0.802,0.835,0.802,,
adult,65,84.239,0.208,0.814,0.797,0.838,0.797,,
adult,87,80.236,1.047,0.817,0.799,0.84,0.799,,
diamonds,16,212.499,2.704,,,,,0.064,272395.687
diamonds,30,205.291,2.457,,,,,0.064,271746.931
diamonds,42,180.323,2.228,,,,,0.064,276937.352
diamonds,65,160.497,2.348,,,,,0.064,273877.595
diamonds,87,159.458,2.886,,,,,0.064,271757.977
OnlineNewsPopularity,16,95.605,0.772,,,,,0.835,136264983.907
OnlineNewsPopularity,30,93.331,0.32,,,,,0.752,136248863.492
OnlineNewsPopularity,42,95.285,0.943,,,,,0.76,136358241.214
OnlineNewsPopularity,65,88.447,0.72,,,,,0.759,136202200.337
OnlineNewsPopularity,87,89.424,0.911,,,,,0.734,136578905.947
german_credit,16,14.791,0.043,0.675,0.666,0.706,0.666,,
german_credit,30,13.456,0.171,0.659,0.648,0.706,0.648,,
german_credit,42,12.538,0.033,0.684,0.679,0.71,0.679,,
german_credit,65,12.658,0.067,0.658,0.651,0.682,0.651,,
german_credit,87,12.581,0.043,0.679,0.673,0.691,0.673,,
Moneyball,16,11.534,0.132,,,,,0.025,488.368
Moneyball,30,17.752,0.111,,,,,0.025,496.563
Moneyball,42,10.082,0.096,,,,,0.025,500.925
Moneyball,65,13.317,0.134,,,,,0.024,476.46
Moneyball,87,9.414,0.093,,,,,0.025,477.646
sensory,16,3.994,0.017,,,,,0.038,0.508
sensory,30,3.34,0.043,,,,,0.04,0.564
sensory,42,3.371,0.022,,,,,0.038,0.52
sensory,65,3.596,0.065,,,,,0.038,0.511
sensory,87,3.267,0.049,,,,,0.039,0.526
abalone,16,11.37,0.052,,,,,0.14,4.487
abalone,30,10.316,0.068,,,,,0.141,4.39
abalone,42,11.244,0.06,,,,,0.141,4.462
abalone,65,10.931,0.087,,,,,0.142,4.5
abalone,87,12.061,0.064,,,,,0.142,4.413
house_sales,16,72.696,0.511,,,,,0.116,12419080438.125
house_sales,30,75.137,0.484,,,,,0.116,12520247746.863
house_sales,42,58.722,0.488,,,,,0.116,13020925868.008
house_sales,65,62.118,0.62,,,,,0.116,13055871217.701
house_sales,87,68.598,0.301,,,,,0.116,12467582861.262
diabetes,16,10.533,0.083,0.712,0.709,0.729,0.709,,
diabetes,30,9.453,0.024,0.74,0.733,0.753,0.733,,
diabetes,42,10.044,0.027,0.728,0.724,0.738,0.724,,
diabetes,65,10.279,0.03,0.709,0.705,0.716,0.705,,
diabetes,87,9.466,0.01,0.715,0.708,0.726,0.708,,
Australian,16,10.604,0.011,0.867,0.868,0.869,0.868,,
Australian,30,9.295,0.016,0.863,0.863,0.865,0.863,,
Australian,42,9.744,0.014,0.856,0.854,0.86,0.854,,
Australian,65,8.981,0.009,0.86,0.86,0.861,0.86,,
Australian,87,8.936,0.015,0.853,0.855,0.855,0.855,,
ada,16,16.788,0.261,0.81,0.794,0.83,0.794,,
ada,30,15.507,0.163,0.8,0.791,0.811,0.791,,
ada,42,15.791,0.035,0.795,0.78,0.817,0.78,,
ada,65,16.934,0.151,0.799,0.783,0.822,0.783,,
ada,87,15.72,0.19,0.797,0.785,0.815,0.785,,
