dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,37.047,2.438,0.609,0.578,0.786,0.578,,
ozone-level-8hr,30,39.921,2.502,0.576,0.553,0.769,0.553,,
ozone-level-8hr,42,40.742,2.883,0.587,0.561,0.769,0.561,,
ozone-level-8hr,65,42.088,3.108,0.634,0.593,0.81,0.593,,
ozone-level-8hr,87,42.573,2.573,0.64,0.601,0.783,0.601,,
adult,16,117.507,3.04,0.755,0.729,0.81,0.729,,
adult,30,123.314,2.9,0.757,0.732,0.804,0.732,,
adult,42,122.762,2.887,0.754,0.728,0.804,0.728,,
adult,65,120.428,2.833,0.752,0.727,0.805,0.727,,
adult,87,121.335,2.804,0.753,0.727,0.806,0.727,,
diamonds,16,111.06,2.858,,,,,1.355,12752155.546
diamonds,30,115.324,2.597,,,,,1.359,12381930.333
diamonds,42,115.068,2.643,,,,,1.115,12934812.594
diamonds,65,133.685,2.783,,,,,0.979,16339748.362
diamonds,87,125.479,2.64,,,,,0.984,13912187.886
OnlineNewsPopularity,16,184.485,6.336,,,,,1.585,2742212139.256
OnlineNewsPopularity,30,188.076,5.77,,,,,1.63,3615407907.07
OnlineNewsPopularity,42,188.329,6.019,,,,,1.677,2802938407.356
OnlineNewsPopularity,65,192.322,6.351,,,,,1.6,3199991907.506
OnlineNewsPopularity,87,189.781,6.622,,,,,1.564,3728226387.147
german_credit,16,21.235,1.65,0.603,0.605,0.631,0.605,,
german_credit,30,21.705,1.744,0.606,0.606,0.655,0.606,,
german_credit,42,22.792,1.549,0.611,0.607,0.634,0.607,,
german_credit,65,23.626,1.401,0.562,0.57,0.655,0.57,,
german_credit,87,24.589,1.405,0.589,0.593,0.624,0.593,,
Moneyball,16,14.817,0.973,,,,,0.225,48831.436
Moneyball,30,15.072,0.898,,,,,0.123,13301.575
Moneyball,42,15.606,0.946,,,,,0.743,299622.016
Moneyball,65,15.176,0.867,,,,,0.674,259341.068
Moneyball,87,15.597,0.868,,,,,0.367,127706.29
sensory,16,14.088,1.146,,,,,0.104,4.14
sensory,30,14.971,0.987,,,,,0.32,33.046
sensory,42,14.844,0.965,,,,,0.087,2.823
sensory,65,15.72,1.011,,,,,0.261,25.99
sensory,87,15.68,1.001,,,,,0.112,5.086
abalone,16,17.525,0.864,,,,,0.183,6.303
abalone,30,17.108,0.72,,,,,0.184,6.228
abalone,42,18.443,0.797,,,,,0.181,6.125
abalone,65,17.112,0.72,,,,,0.176,6.019
abalone,87,17.5,0.743,,,,,0.179,5.941
house_sales,16,64.709,2.317,,,,,0.446,91279921048.925
house_sales,30,64.429,2.162,,,,,0.591,128292713765.554
house_sales,42,62.845,2.04,,,,,0.613,198452431563.369
house_sales,65,66.678,2.112,,,,,0.249,39522653234.342
house_sales,87,65.696,2.069,,,,,0.478,116968717268.883
diabetes,16,11.351,0.536,0.732,0.724,0.749,0.724,,
diabetes,30,11.034,0.483,0.729,0.724,0.743,0.724,,
diabetes,42,11.045,0.478,0.726,0.72,0.74,0.72,,
diabetes,65,11.56,0.465,0.69,0.687,0.753,0.687,,
diabetes,87,12.404,0.493,0.732,0.725,0.748,0.725,,
Australian,16,14.603,1.043,0.859,0.861,0.861,0.861,,
Australian,30,14.547,0.938,0.844,0.843,0.845,0.843,,
Australian,42,14.887,0.949,0.854,0.853,0.857,0.853,,
Australian,65,15.189,0.962,0.834,0.833,0.835,0.833,,
Australian,87,16.209,1.02,0.858,0.861,0.858,0.861,,
ada,16,50.986,3.698,0.73,0.713,0.757,0.713,,
ada,30,52.948,3.937,0.739,0.726,0.762,0.726,,
ada,42,54.683,3.306,0.738,0.722,0.765,0.722,,
ada,65,55.466,3.785,0.75,0.736,0.774,0.736,,
ada,87,56.659,4.159,0.746,0.729,0.774,0.729,,
