dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,643.489,2.861,0.586,0.558,0.826,0.558,,
ozone-level-8hr,30,647.666,7.304,0.649,0.604,0.832,0.604,,
ozone-level-8hr,42,646.378,4.232,0.604,0.571,0.774,0.571,,
ozone-level-8hr,65,697.486,6.36,0.555,0.543,0.825,0.543,,
ozone-level-8hr,87,808.971,6.876,0.484,0.5,0.968,0.5,,
adult,16,797.722,5.215,0.537,0.573,0.855,0.573,,
adult,30,812.913,2.522,0.432,0.5,0.88,0.5,,
adult,42,811.75,4.519,0.432,0.5,0.88,0.5,,
adult,65,814.835,3.409,0.432,0.5,0.88,0.5,,
adult,87,812.488,9.475,0.432,0.5,0.88,0.5,,
diamonds,16,812.673,14.678,,,,,1.316,11219091.047
diamonds,30,811.447,4.341,,,,,1.885,15917005.778
diamonds,42,811.117,4.751,,,,,1.887,15916380.278
diamonds,65,809.928,5.546,,,,,1.884,15915601.98
diamonds,87,810.472,7.368,,,,,1.883,15915761.877
OnlineNewsPopularity,16,817.587,4.033,,,,,1.993,126169955.668
OnlineNewsPopularity,30,809.431,4.719,,,,,2.109,167593129.196
OnlineNewsPopularity,42,816.47,0.16,,,,,,
OnlineNewsPopularity,65,811.514,4.342,,,,,2.01,109042312.045
OnlineNewsPopularity,87,807.62,4.991,,,,,2.098,140104981.734
german_credit,16,750.841,3.769,0.305,0.505,0.643,0.505,,
german_credit,30,804.953,6.95,0.231,0.5,0.65,0.5,,
german_credit,42,806.95,7.383,0.231,0.5,0.65,0.5,,
german_credit,65,804.347,6.767,0.231,0.5,0.65,0.5,,
german_credit,87,808.704,3.487,0.231,0.5,0.65,0.5,,
Moneyball,16,747.577,8.51,,,,,0.078,5571.549
Moneyball,30,807.671,9.787,,,,,0.105,8420.578
Moneyball,42,806.047,4.525,,,,,0.104,8419.276
Moneyball,65,808.186,5.734,,,,,0.104,8386.856
Moneyball,87,808.796,14.624,,,,,0.104,8382.479
sensory,16,684.813,9.418,,,,,0.04,0.576
sensory,30,805.793,3.988,,,,,0.043,0.683
sensory,42,809.502,7.125,,,,,0.043,0.676
sensory,65,806.033,5.177,,,,,0.043,0.68
sensory,87,807.42,5.935,,,,,0.044,0.681
abalone,16,626.953,2.984,,,,,0.152,4.801
abalone,30,626.638,5.382,,,,,0.154,4.771
abalone,42,813.976,3.831,,,,,0.268,10.401
abalone,65,808.237,1.464,,,,,0.268,10.405
abalone,87,815.229,4.289,,,,,0.268,10.403
house_sales,16,771.853,7.031,,,,,0.399,94323526701.909
house_sales,30,803.961,7.617,,,,,0.537,134790735025.477
house_sales,42,806.518,6.478,,,,,0.533,134780482563.823
house_sales,65,808.369,4.617,,,,,0.535,134784646012.975
house_sales,87,805.85,4.27,,,,,0.537,134818788116.6
diabetes,16,748.805,5.277,0.518,0.584,0.814,0.584,,
diabetes,30,806.276,6.795,0.394,0.5,0.826,0.5,,
diabetes,42,804.805,2.434,0.394,0.5,0.826,0.5,,
diabetes,65,808.836,5.867,0.394,0.5,0.826,0.5,,
diabetes,87,806.26,4.672,0.394,0.5,0.826,0.5,,
Australian,16,745.475,5.518,0.523,0.619,0.804,0.619,,
Australian,30,810.119,8.207,0.357,0.5,0.778,0.5,,
Australian,42,808.705,3.753,0.357,0.5,0.778,0.5,,
Australian,65,809.508,5.816,0.357,0.5,0.778,0.5,,
Australian,87,809.471,2.632,0.357,0.5,0.778,0.5,,
ada,16,624.722,5.966,0.807,0.792,0.828,0.792,,
ada,30,691.786,5.243,0.67,0.682,0.836,0.682,,
ada,42,812.18,8.423,0.429,0.5,0.876,0.5,,
ada,65,807.92,4.71,0.429,0.5,0.876,0.5,,
ada,87,810.663,7.508,0.429,0.5,0.876,0.5,,
