dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,600.523,0.692,0.733,0.754,0.721,0.754,,
ozone-level-8hr,30,602.636,0.615,0.711,0.695,0.732,0.695,,
ozone-level-8hr,42,603.398,1.081,0.67,0.652,0.7,0.652,,
ozone-level-8hr,65,600.591,0.467,0.697,0.684,0.725,0.684,,
ozone-level-8hr,87,606.739,0.926,0.702,0.691,0.721,0.691,,
adult,16,605.351,4.525,0.762,0.751,0.779,0.751,,
adult,30,607.01,3.668,0.762,0.752,0.774,0.752,,
adult,42,610.571,5.888,0.764,0.748,0.787,0.748,,
adult,65,604.093,4.254,0.762,0.752,0.776,0.752,,
adult,87,607.944,8.157,0.762,0.746,0.785,0.746,,
diamonds,16,606.883,4.144,,,,,0.197,1814155.643
diamonds,30,601.825,3.576,,,,,0.196,1827457.474
diamonds,42,601.859,3.715,,,,,0.198,1821288.013
diamonds,65,602.242,4.377,,,,,0.198,1819160.637
diamonds,87,603.915,3.406,,,,,0.197,1822333.637
OnlineNewsPopularity,16,603.208,0.732,,,,,1.676,167540112.439
OnlineNewsPopularity,30,607.04,0.606,,,,,1.921,135935830.181
OnlineNewsPopularity,42,602.453,0.481,,,,,2.183,134534604.905
OnlineNewsPopularity,65,601.525,0.605,,,,,2.077,134850550.565
OnlineNewsPopularity,87,599.287,0.607,,,,,3.432,164990700.878
german_credit,16,599.537,0.758,0.577,0.577,0.577,0.577,,
german_credit,30,600.778,0.698,0.616,0.618,0.616,0.618,,
german_credit,42,605.369,0.639,0.582,0.582,0.585,0.582,,
german_credit,65,605.987,0.91,0.609,0.61,0.612,0.61,,
german_credit,87,602.691,0.312,0.6,0.601,0.6,0.601,,
Moneyball,16,600.589,0.153,,,,,0.024,456.106
Moneyball,30,597.246,0.106,,,,,0.024,468.398
Moneyball,42,606.782,0.149,,,,,0.024,458.041
Moneyball,65,602.649,0.151,,,,,0.024,452.442
Moneyball,87,610.179,0.211,,,,,0.024,457.278
sensory,16,602.814,0.127,,,,,0.038,0.501
sensory,30,598.966,0.178,,,,,0.039,0.513
sensory,42,604.604,0.086,,,,,0.038,0.511
sensory,65,605.684,0.092,,,,,0.038,0.524
sensory,87,604.43,0.137,,,,,0.039,0.526
abalone,16,604.764,0.589,,,,,0.147,4.515
abalone,30,605.51,0.637,,,,,0.144,4.517
abalone,42,604.193,0.693,,,,,0.145,4.505
abalone,65,601.362,0.777,,,,,0.145,4.558
abalone,87,605.88,0.637,,,,,0.145,4.546
house_sales,16,601.14,1.259,,,,,0.124,16019788988.265
house_sales,30,602.134,1.205,,,,,0.125,15631881772.686
house_sales,42,605.177,1.46,,,,,0.125,16396419438.906
house_sales,65,603.268,1.36,,,,,0.125,15323188510.173
house_sales,87,604.327,1.692,,,,,0.124,16888767364.628
diabetes,16,602.853,0.521,0.715,0.715,0.716,0.715,,
diabetes,30,607.373,0.319,0.723,0.73,0.721,0.73,,
diabetes,42,602.974,0.499,0.724,0.722,0.732,0.722,,
diabetes,65,604.066,0.722,0.721,0.714,0.733,0.714,,
diabetes,87,607.137,0.512,0.727,0.723,0.733,0.723,,
Australian,16,599.591,0.688,0.855,0.857,0.856,0.857,,
Australian,30,600.765,0.74,0.851,0.853,0.855,0.853,,
Australian,42,606.739,0.599,0.864,0.865,0.865,0.865,,
Australian,65,606.582,0.515,0.852,0.853,0.852,0.853,,
Australian,87,610.136,0.502,0.874,0.876,0.873,0.876,,
ada,16,600.665,1.147,0.798,0.793,0.807,0.793,,
ada,30,602.515,1.11,0.804,0.806,0.805,0.806,,
ada,42,601.002,1.628,0.802,0.797,0.808,0.797,,
ada,65,604.491,1.005,0.799,0.793,0.808,0.793,,
ada,87,598.138,1.53,0.803,0.798,0.808,0.798,,
