dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,601.888,0.527,0.721,0.719,0.733,0.719,,
ozone-level-8hr,30,602.21,0.536,0.717,0.713,0.749,0.713,,
ozone-level-8hr,42,602.45,0.573,0.739,0.747,0.734,0.747,,
ozone-level-8hr,65,602.132,0.556,0.7,0.709,0.712,0.709,,
ozone-level-8hr,87,602.556,0.572,0.705,0.719,0.713,0.719,,
adult,16,602.722,1.339,0.82,0.829,0.813,0.829,,
adult,30,602.338,1.341,0.819,0.83,0.812,0.83,,
adult,42,603.362,1.156,0.821,0.822,0.82,0.822,,
adult,65,602.946,1.199,0.82,0.827,0.815,0.827,,
adult,87,602.742,1.238,0.818,0.833,0.806,0.833,,
diamonds,16,602.511,1.143,,,,,0.07,276666.269
diamonds,30,601.933,1.393,,,,,0.069,276590.766
diamonds,42,602.167,1.083,,,,,0.069,279275.784
diamonds,65,602.694,1.137,,,,,0.069,276427.43
diamonds,87,601.929,1.096,,,,,0.069,275586.946
OnlineNewsPopularity,16,603.761,1.187,,,,,1.91,133336399.868
OnlineNewsPopularity,30,603.333,1.191,,,,,1.951,133499790.997
OnlineNewsPopularity,42,603.438,1.138,,,,,1.898,133533700.159
OnlineNewsPopularity,65,603.402,1.22,,,,,1.884,134872830.503
OnlineNewsPopularity,87,603.259,1.201,,,,,1.951,132105919.466
german_credit,16,593.879,0.484,0.67,0.658,0.71,0.658,,
german_credit,30,600.461,0.49,0.689,0.677,0.72,0.677,,
german_credit,42,598.147,0.43,0.686,0.67,0.737,0.67,,
german_credit,65,605.655,0.526,0.642,0.633,0.69,0.633,,
german_credit,87,602.368,0.528,0.654,0.645,0.714,0.645,,
Moneyball,16,591.17,0.47,,,,,0.024,458.637
Moneyball,30,591.327,0.46,,,,,0.024,479.08
Moneyball,42,590.938,0.461,,,,,0.024,458.8
Moneyball,65,591.359,0.464,,,,,0.024,469.008
Moneyball,87,591.185,0.45,,,,,0.024,470.738
sensory,16,589.025,0.399,,,,,0.037,0.478
sensory,30,588.675,0.447,,,,,0.039,0.535
sensory,42,589.035,0.316,,,,,0.038,0.501
sensory,65,589.598,0.238,,,,,0.038,0.507
sensory,87,589.198,0.315,,,,,0.038,0.512
abalone,16,594.332,0.472,,,,,0.145,4.422
abalone,30,592.76,0.454,,,,,0.158,4.538
abalone,42,593.322,0.453,,,,,0.158,4.567
abalone,65,592.47,0.468,,,,,0.158,4.569
abalone,87,593.141,0.455,,,,,0.151,4.446
house_sales,16,602.519,0.791,,,,,0.125,14940551204.429
house_sales,30,602.477,0.677,,,,,0.122,14267708870.786
house_sales,42,602.349,0.756,,,,,0.122,14322201797.044
house_sales,65,602.523,0.742,,,,,0.122,14195764030.159
house_sales,87,601.841,0.624,,,,,0.122,14012054187.369
diabetes,16,592.636,0.418,0.707,0.717,0.704,0.717,,
diabetes,30,593.707,0.493,0.731,0.747,0.729,0.747,,
diabetes,42,594.924,0.353,0.715,0.724,0.72,0.724,,
diabetes,65,596.94,0.435,0.713,0.735,0.718,0.735,,
diabetes,87,598.32,0.322,0.721,0.726,0.725,0.726,,
Australian,16,593.295,0.503,0.875,0.876,0.877,0.876,,
Australian,30,594.232,0.431,0.863,0.864,0.864,0.864,,
Australian,42,596.155,0.421,0.865,0.866,0.866,0.866,,
Australian,65,598.744,0.508,0.86,0.862,0.866,0.862,,
Australian,87,599.925,0.438,0.867,0.872,0.871,0.872,,
ada,16,601.575,0.516,0.816,0.828,0.807,0.828,,
ada,30,602.281,0.526,0.807,0.823,0.795,0.823,,
ada,42,602.623,0.529,0.809,0.83,0.795,0.83,,
ada,65,602.911,0.541,0.811,0.829,0.8,0.829,,
ada,87,602.924,0.564,0.812,0.821,0.806,0.821,,
