dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,26.784,0.004,0.664,0.62,0.819,0.62,,
ozone-level-8hr,30,26.267,0.004,0.677,0.633,0.825,0.633,,
ozone-level-8hr,42,24.199,0.003,0.621,0.586,0.76,0.586,,
ozone-level-8hr,65,25.101,0.003,0.592,0.57,0.768,0.57,,
ozone-level-8hr,87,24.623,0.003,0.652,0.609,0.797,0.609,,
adult,16,136.993,0.06,0.79,0.769,0.823,0.769,,
adult,30,143.176,0.063,0.798,0.777,0.83,0.777,,
adult,42,122.54,0.068,0.798,0.777,0.831,0.777,,
adult,65,146.05,0.236,0.801,0.784,0.824,0.784,,
adult,87,155.97,0.251,0.796,0.778,0.822,0.778,,
diamonds,16,145.853,0.01,,,,,0.391,1349379.55
diamonds,30,446.965,0.017,,,,,0.541,1900523.8
diamonds,42,355.605,0.034,,,,,0.489,1543526.082
diamonds,65,337.154,0.022,,,,,0.391,1353644.223
diamonds,87,504.606,0.017,,,,,0.464,1531409.358
OnlineNewsPopularity,16,740.82,0.019,,,,,1.976,133290614.29
OnlineNewsPopularity,30,392.867,0.016,,,,,2.007,133293491.312
OnlineNewsPopularity,42,775.818,0.011,,,,,1.916,132760992.887
OnlineNewsPopularity,65,439.456,0.032,,,,,1.9,133298371.833
OnlineNewsPopularity,87,276.173,0.038,,,,,2.057,265719039.11
german_credit,16,22.924,0.002,0.684,0.673,0.716,0.673,,
german_credit,30,21.558,0.003,0.66,0.648,0.709,0.648,,
german_credit,42,21.745,0.002,0.666,0.657,0.699,0.657,,
german_credit,65,21.498,0.003,0.668,0.657,0.697,0.657,,
german_credit,87,20.805,0.004,0.624,0.622,0.728,0.622,,
Moneyball,16,26.916,0.004,,,,,0.025,491.05
Moneyball,30,26.283,0.003,,,,,0.024,485.071
Moneyball,42,27.109,0.004,,,,,0.025,495.546
Moneyball,65,27.854,0.007,,,,,0.024,479.008
Moneyball,87,25.468,0.002,,,,,0.025,495.694
sensory,16,24.844,0.002,,,,,0.043,0.655
sensory,30,24.121,0.001,,,,,0.043,0.66
sensory,42,24.072,0.001,,,,,0.043,0.67
sensory,65,23.682,0.003,,,,,0.042,0.628
sensory,87,24.044,0.002,,,,,0.042,0.639
abalone,16,27.03,0.005,,,,,0.148,5.455
abalone,30,27.384,0.003,,,,,0.144,4.998
abalone,42,29.765,0.011,,,,,0.147,5.256
abalone,65,26.883,0.003,,,,,0.147,5.377
abalone,87,30.825,0.01,,,,,0.147,5.329
house_sales,16,162.308,0.026,,,,,0.155,23269760669.957
house_sales,30,182.619,0.042,,,,,0.141,19689933543.051
house_sales,42,216.024,0.024,,,,,0.148,18361518240.736
house_sales,65,46.015,0.015,,,,,0.153,24146244121.626
house_sales,87,105.32,0.022,,,,,0.14,17437714954.342
diabetes,16,21.797,0.003,0.715,0.707,0.73,0.707,,
diabetes,30,21.159,0.004,0.738,0.731,0.75,0.731,,
diabetes,42,21.132,0.006,0.707,0.698,0.73,0.698,,
diabetes,65,20.689,0.002,0.714,0.708,0.73,0.708,,
diabetes,87,21.06,0.006,0.734,0.726,0.758,0.726,,
Australian,16,22.353,0.005,0.872,0.871,0.875,0.871,,
Australian,30,20.437,0.004,0.854,0.852,0.863,0.852,,
Australian,42,20.626,0.004,0.859,0.858,0.861,0.858,,
Australian,65,20.754,0.003,0.857,0.857,0.86,0.857,,
Australian,87,21.302,0.003,0.869,0.871,0.87,0.871,,
ada,16,25.248,0.013,0.797,0.782,0.818,0.782,,
ada,30,23.676,0.005,0.801,0.785,0.824,0.785,,
ada,42,24.036,0.005,0.801,0.783,0.83,0.783,,
ada,65,24.717,0.005,0.798,0.779,0.827,0.779,,
ada,87,25.048,0.019,0.798,0.783,0.819,0.783,,
