dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,9.849,0.145,0.003,0.335,0.436,0.564,,
ozone-level-8hr,30,11.424,0.166,0.004,0.336,0.441,0.592,,
ozone-level-8hr,42,9.861,0.182,0.002,0.334,0.413,0.569,,
ozone-level-8hr,65,9.388,0.14,0.004,0.335,0.446,0.583,,
ozone-level-8hr,87,10.004,0.153,0.003,0.335,0.437,0.568,,
adult,16,22.801,0.691,0.814,0.792,0.846,0.792,,
adult,30,22.284,0.636,0.812,0.791,0.844,0.791,,
adult,42,23.641,0.699,0.814,0.792,0.846,0.792,,
adult,65,21.744,0.69,0.814,0.792,0.846,0.792,,
adult,87,22.428,0.656,0.814,0.792,0.845,0.792,,
diamonds,16,427.587,1.924,,,,,0.08,299950.066
diamonds,30,431.434,1.647,,,,,0.081,297947.122
diamonds,42,431.243,1.989,,,,,0.079,302167.589
diamonds,65,433.756,1.728,,,,,0.08,302622.316
diamonds,87,431.099,2.003,,,,,0.079,297268.991
OnlineNewsPopularity,16,432.226,0.578,,,,,1.939,132508018.392
OnlineNewsPopularity,30,397.348,0.668,,,,,1.919,132655562.893
OnlineNewsPopularity,42,406.329,0.654,,,,,1.887,132204583.481
OnlineNewsPopularity,65,396.277,0.66,,,,,1.937,132594025.762
OnlineNewsPopularity,87,423.629,0.675,,,,,1.95,132415891.902
german_credit,16,7.949,0.098,0.631,0.622,0.717,0.622,,
german_credit,30,6.592,0.096,0.635,0.629,0.715,0.629,,
german_credit,42,7.59,0.094,0.623,0.616,0.731,0.616,,
german_credit,65,7.923,0.092,0.636,0.627,0.686,0.627,,
german_credit,87,7.197,0.098,0.604,0.602,0.706,0.602,,
Moneyball,16,337.449,0.088,,,,,0.023,445.025
Moneyball,30,356.219,0.1,,,,,0.023,446.985
Moneyball,42,311.285,0.087,,,,,0.023,441.723
Moneyball,65,333.738,0.086,,,,,0.023,446.453
Moneyball,87,317.255,0.069,,,,,0.023,443.537
sensory,16,225.54,0.088,,,,,0.039,0.545
sensory,30,267.374,0.074,,,,,0.04,0.554
sensory,42,249.681,0.065,,,,,0.039,0.528
sensory,65,265.844,0.063,,,,,0.038,0.514
sensory,87,227.105,0.076,,,,,0.038,0.518
abalone,16,291.132,0.055,,,,,0.15,4.468
abalone,30,292.59,0.057,,,,,0.152,4.514
abalone,42,300.605,0.053,,,,,0.151,4.497
abalone,65,301.118,0.057,,,,,0.15,4.498
abalone,87,298.396,0.049,,,,,0.151,4.481
house_sales,16,424.303,1.61,,,,,0.121,13611121828.906
house_sales,30,423.576,1.638,,,,,0.12,13674732155.378
house_sales,42,426.048,1.807,,,,,0.121,13677138119.582
house_sales,65,426.531,1.314,,,,,0.121,14224112499.901
house_sales,87,422.742,1.543,,,,,0.12,13691998303.037
diabetes,16,6.198,0.024,0.723,0.711,0.764,0.711,,
diabetes,30,5.357,0.029,0.698,0.688,0.777,0.688,,
diabetes,42,5.369,0.03,0.665,0.665,0.754,0.665,,
diabetes,65,5.188,0.03,0.596,0.626,0.784,0.626,,
diabetes,87,4.901,0.027,0.704,0.692,0.765,0.692,,
Australian,16,5.822,0.029,0.874,0.874,0.877,0.874,,
Australian,30,5.357,0.037,0.865,0.866,0.868,0.866,,
Australian,42,5.83,0.023,0.856,0.856,0.858,0.856,,
Australian,65,5.18,0.027,0.864,0.866,0.868,0.866,,
Australian,87,5.344,0.022,0.855,0.859,0.856,0.859,,
ada,16,10.359,0.096,0.796,0.776,0.828,0.776,,
ada,30,10.051,0.098,0.797,0.778,0.828,0.778,,
ada,42,8.877,0.091,0.798,0.779,0.828,0.779,,
ada,65,10.214,0.087,0.8,0.781,0.829,0.781,,
ada,87,9.99,0.087,0.796,0.778,0.827,0.778,,
