dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,607.62,0.008,0.679,0.67,0.729,0.67,,
ozone-level-8hr,30,650.244,0.011,0.71,0.691,0.755,0.691,,
ozone-level-8hr,42,666.139,0.009,0.679,0.665,0.703,0.665,,
ozone-level-8hr,65,608.865,0.01,0.667,0.658,0.68,0.658,,
ozone-level-8hr,87,705.855,0.01,0.685,0.662,0.728,0.662,,
adult,16,641.752,0.08,0.743,0.714,0.808,0.714,,
adult,30,694.832,0.464,0.741,0.716,0.798,0.716,,
adult,42,619.03,0.032,0.744,0.716,0.807,0.716,,
adult,65,611.341,0.022,0.741,0.713,0.804,0.713,,
adult,87,619.322,0.48,0.744,0.718,0.801,0.718,,
diamonds,16,608.907,0.019,,,,,0.249,552483604.421
diamonds,30,615.582,0.021,,,,,0.248,530991765.386
diamonds,42,610.312,0.03,,,,,0.234,7940129.784
diamonds,65,604.435,0.028,,,,,0.25,670864746.43
diamonds,87,606.786,0.017,,,,,0.232,7959932.008
OnlineNewsPopularity,16,723.87,0.01,,,,,1.068,843838633.537
OnlineNewsPopularity,30,724.546,0.013,,,,,1.035,748706306.417
OnlineNewsPopularity,42,686.434,0.01,,,,,1.029,621296758.375
OnlineNewsPopularity,65,670.082,0.01,,,,,1.072,877278317.379
OnlineNewsPopularity,87,657.469,0.009,,,,,1.04,810616345.475
german_credit,16,601.407,0.002,0.572,0.573,0.59,0.573,,
german_credit,30,600.882,0.002,0.553,0.568,0.575,0.568,,
german_credit,42,601.56,0.005,0.56,0.568,0.586,0.568,,
german_credit,65,602.589,0.004,0.564,0.563,0.571,0.563,,
german_credit,87,600.829,0.003,0.544,0.547,0.571,0.547,,
Moneyball,16,600.986,0.004,,,,,0.023,444.617
Moneyball,30,600.801,0.002,,,,,0.024,452.537
Moneyball,42,600.992,0.002,,,,,0.024,447.874
Moneyball,65,600.341,0.003,,,,,0.024,447.837
Moneyball,87,600.588,0.004,,,,,0.023,443.855
sensory,16,600.756,0.005,,,,,0.041,0.596
sensory,30,607.198,0.002,,,,,0.043,0.685
sensory,42,605.645,0.005,,,,,0.043,0.649
sensory,65,601.655,0.01,,,,,0.043,0.688
sensory,87,602.429,0.004,,,,,0.042,0.638
abalone,16,602.329,0.021,,,,,0.149,4.61
abalone,30,602.488,0.022,,,,,0.151,4.87
abalone,42,600.913,0.028,,,,,0.148,4.686
abalone,65,606.932,0.04,,,,,0.148,4.528
abalone,87,602.052,0.017,,,,,0.158,5.776
house_sales,16,644.573,0.033,,,,,0.128,16275184103.06
house_sales,30,654.787,0.031,,,,,0.129,16536653293.616
house_sales,42,653.415,0.031,,,,,0.13,16539864511.481
house_sales,65,642.898,0.029,,,,,0.129,16679864655.067
house_sales,87,633.856,0.029,,,,,0.129,16297463882.146
diabetes,16,610.164,0.005,0.722,0.715,0.738,0.715,,
diabetes,30,605.169,0.004,0.72,0.713,0.736,0.713,,
diabetes,42,603.861,0.002,0.717,0.714,0.732,0.714,,
diabetes,65,601.541,0.003,0.693,0.69,0.699,0.69,,
diabetes,87,601.414,0.005,0.71,0.706,0.719,0.706,,
Australian,16,601.321,0.006,0.861,0.86,0.866,0.86,,
Australian,30,600.666,0.004,0.863,0.864,0.864,0.864,,
Australian,42,601.107,0.003,0.852,0.851,0.855,0.851,,
Australian,65,601.721,0.004,0.861,0.862,0.862,0.862,,
Australian,87,600.636,0.003,0.856,0.856,0.858,0.856,,
ada,16,602.583,0.008,0.801,0.784,0.825,0.784,,
ada,30,601.501,0.008,0.801,0.787,0.819,0.787,,
ada,42,602.519,0.015,0.796,0.785,0.814,0.785,,
ada,65,601.744,0.009,0.8,0.787,0.819,0.787,,
ada,87,620.816,0.003,0.803,0.788,0.825,0.788,,
